venue_id,title,address,updated_at,lat,lon,total_participants,max_distance,recent_messages
284,Prohibition Brisbane,"206 Wickham St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4578,153.033,0,55,
285,The Beat Megaclub,"677 Ann St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4581,153.036,0,55,
286,Retro's Fortitude Valley,"32/321 Brunswick St, Fortitude Valley QLD 4006, Australia",2021-12-27 02:38:43,-27.4582,153.034,0,55,
287,The MET Brisbane,"256 Wickham St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4568,153.034,0,55,
288,FAMOUS,"299 Brunswick St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4579,153.034,0,55,
289,Birdees,"608 Ann St, Fortitude Valley QLD 4006, Australia",2022-06-19 03:15:45,-27.4594,153.034,1,55,"[{""text"":""Updated Venue"",""_id"":""665"",""createdAt"":""2022-06-19T10:15:44.887Z"",""user"":{""_id"":""665"",""name"":""Brenda"",""avatar"":""|2063419226_1653683912.jpeg""}},{""text"":""Updated Venue"",""_id"":""665"",""createdAt"":""2022-06-09T08:59:34.124Z"",""user"":{""_id"":""665"",""name"":""Brenda"",""avatar"":""|2063419226_1653683912.jpeg""}},{""text"":""Updated Venue"",""_id"":""665"",""createdAt"":""2022-06-07T17:57:43.439Z"",""user"":{""_id"":""665"",""name"":""Brenda"",""avatar"":""|2063419226_1653683912.jpeg""}},{""text"":""Updated Venue"",""_id"":""205"",""createdAt"":""2022-06-01T09:31:26.001Z"",""user"":{""_id"":""205"",""name"":""Callum"",""avatar"":""|1141643216_1637940927.jpeg""}}]"
290,Press Club,"339 Brunswick St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4588,153.035,0,55,
291,OMFGs Adult Lounge,"1/367 Brunswick St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4591,153.036,0,55,
292,Sub Rosa,"188 Brunswick St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.456,153.032,0,55,
293,Club XOXO,"18 McLachlan St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4592,153.035,0,55,
294,Sky and Lotus,"Level 1/234 Wickham St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4573,153.033,0,55,
295,Candy Club Strip Club,"198 Wickham St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4579,153.033,0,55,
296,Shades,"648 Ann St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4587,153.035,0,55,
297,Lost Bar,"693 Ann St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4579,153.036,0,55,
298,GPO Hotel,"740 Ann St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.4569,153.036,0,55,
299,Love & Rockets - Fortitude Valle,"693 Ann St, Fortitude Valley QLD 4006, Australia",0000-00-00 00:00:00,-27.458,153.036,0,55,
